target,model,n,MAE,RMSE,R2
cash_cover_months,change_tree,370,3.9428008717441787,5.317856387277533,0.5264263243504256
cash_cover_months,fiscal_only_tree,370,4.317471823375252,5.928475296923279,0.4114269490232293
cash_cover_months,full_level_tree,370,4.317471823375252,5.928475296923279,0.4114269490232293
cash_cover_months,mean_change,370,3.8795600038412057,5.230088725447481,0.5419293595810509
cash_cover_months,persistence,370,3.799238108108108,5.17660719252511,0.5512496845611783
cash_cover_months,training_mean,370,5.684969456464624,7.8694739653670345,-0.03706445657159074
maintenance_ratio_pct,change_tree,485,24.633440998514303,41.13228334362066,-0.6287491957254401
maintenance_ratio_pct,fiscal_only_tree,485,20.903102150658523,30.787016007701578,0.08751912303650322
maintenance_ratio_pct,full_level_tree,485,20.903102150658526,30.787016007701578,0.087519123036503
maintenance_ratio_pct,mean_change,485,22.40819447619463,39.4476564512257,-0.49806615097769447
maintenance_ratio_pct,persistence,485,22.081744063801406,39.302947352406896,-0.48709535072367394
maintenance_ratio_pct,training_mean,485,22.165675565264895,32.33187530224391,-0.006353049385917409
operating_ratio_pct,change_tree,370,7.214685590667476,9.256940230316827,0.06999792751414113
operating_ratio_pct,fiscal_only_tree,370,7.39953414978265,9.29068613231557,0.06320497816003356
operating_ratio_pct,full_level_tree,370,7.39953414978265,9.29068613231557,0.06320497816003368
operating_ratio_pct,mean_change,370,8.032207435928434,10.264398660667174,-0.14344694843313066
operating_ratio_pct,persistence,370,6.93845945945946,9.027622281312729,0.11550423736284188
operating_ratio_pct,training_mean,370,7.51662153689809,9.991158219458319,-0.08337964128757647
