target,group_flag,flag_value,n,tree_MAE,persistence_MAE,mean_change
cash_cover_months,mapped_fire_positive,False,239,3.9996260762572553,3.6881263598326357,0.7429246861924688
cash_cover_months,mapped_fire_positive,True,131,4.897358339109609,4.001953435114504,1.2408160305343512
cash_cover_months,bushfire_declared,False,351,4.304491910878361,3.7699609686609685,1.0090715099715097
cash_cover_months,bushfire_declared,True,19,4.557258627923082,4.340094736842105,-0.7409578947368417
cash_cover_months,flood_declared,False,106,4.679235959653186,4.064938679245283,0.3589028301886792
cash_cover_months,flood_declared,True,264,4.172218041384871,3.6925553030303027,1.1441750000000002
maintenance_ratio_pct,mapped_fire_positive,False,284,18.71553455147843,20.46992101307605,1.3595867274925224
maintenance_ratio_pct,mapped_fire_positive,True,201,23.993993683828407,24.359145787214352,1.365383683608042
maintenance_ratio_pct,bushfire_declared,False,442,20.109720360623925,21.18107594294496,1.7447484329651723
maintenance_ratio_pct,bushfire_declared,True,43,29.058328922642044,31.339774515395533,-2.572419915291008
maintenance_ratio_pct,flood_declared,False,184,18.77310621907674,21.732895593622505,0.6908439452570452
maintenance_ratio_pct,flood_declared,True,301,22.20515946431649,22.294993626967244,1.7722573590890243
operating_ratio_pct,mapped_fire_positive,False,239,7.034998782213886,6.752133891213388,2.261422594142259
operating_ratio_pct,mapped_fire_positive,True,131,8.06460249214093,7.278396946564886,2.3707633587786265
operating_ratio_pct,bushfire_declared,False,351,7.397819785957313,6.95954415954416,2.4034188034188033
operating_ratio_pct,bushfire_declared,True,19,7.431204765713891,6.548947368421052,0.3921052631578949
operating_ratio_pct,flood_declared,False,106,6.817371922920089,6.380283018867925,2.131037735849057
operating_ratio_pct,flood_declared,True,264,7.6332811045077715,7.162575757575758,2.3680303030303027
