target,test_year,model,training_years,MAE_test,MAE_train,RMSE_test,RMSE_train,R2_test,R2_train,test_minus_train_MAE
cash_cover_months,2021,change_tree,2019,4.062467284219704,2.777407862407862,5.3868706692819,3.866561694978707,0.5515809388018539,0.7175885060800703,1.2850594218118414
cash_cover_months,2021,full_level_tree,2019,4.471395478983384,3.4399675221110626,6.309962868526904,4.717428742878803,0.38473165087423644,0.579618904633521,1.0314279568723212
cash_cover_months,2021,persistence,2019,3.763886290322581,3.0668595041322315,5.161601521916273,4.3735541648707,0.5883009026409523,0.6386720985366259,0.6970267861903494
cash_cover_months,2022,change_tree,2019|2020,3.7267478884891463,3.027970237180351,5.142607582797522,4.21186936633543,0.5444169482869134,0.6748668854396349,0.6987776513087951
cash_cover_months,2022,full_level_tree,2019|2020,4.101850775942095,3.3348124499625023,5.477137620575953,4.752183245283905,0.48321714809891747,0.586097760484523,0.767038325979593
cash_cover_months,2022,persistence,2019|2020,3.8477385245901634,3.299877049180328,5.047330219564385,4.7507900550898885,0.5611417913211432,0.5863404110662124,0.5478614754098352
cash_cover_months,2023,change_tree,2019|2020|2021,4.035702716987314,3.3041737566600067,5.417050288504099,4.476928354494217,0.4777715934263689,0.6571220099202907,0.731528960327307
cash_cover_months,2023,full_level_tree,2019|2020|2021,4.3756914563707126,3.49518068751139,5.961775018098652,4.6656405088937465,0.36746301726944,0.6276066942644969,0.8805107688593226
cash_cover_months,2023,persistence,2019|2020|2021,3.786871774193548,3.456227989130435,5.315335869102813,4.8930700923130095,0.49719894375543694,0.5904167447927595,0.330643785063113
maintenance_ratio_pct,2021,change_tree,2019,26.923379115890892,20.136646444470422,54.57942621761792,46.553832392846424,-3.1499116453639546,0.026946829189623767,6.78673267142047
maintenance_ratio_pct,2021,full_level_tree,2019,19.4536869719581,18.666980187183206,26.341859992689944,44.680918689972174,0.0333398993976024,0.10366597406221534,0.7867067847748928
maintenance_ratio_pct,2021,persistence,2019,23.385954033946543,19.65422251443117,51.782976825578416,49.22490494430421,-2.735553363178975,-0.08791625852899054,3.7317315195153746
maintenance_ratio_pct,2022,change_tree,2019|2020,22.57828813466349,18.021326139387156,32.84915269493062,37.75868576269247,0.1002386557823246,-0.08053906474593675,4.556961995276335
maintenance_ratio_pct,2022,full_level_tree,2019|2020,21.51393965032245,14.817908371984915,32.67259861817012,33.470395509392944,0.10988454421288785,0.15095947120172504,6.696031278337534
maintenance_ratio_pct,2022,persistence,2019|2020,21.067458450461512,18.61205037224688,32.59358846820423,42.34570950174199,0.11418436262204557,-0.3590191010795849,2.4554080782146315
maintenance_ratio_pct,2023,change_tree,2019|2020|2021,24.89405640497838,19.202321381584984,37.57954191351908,40.07431264831897,-0.30768274534117745,-0.4388428769397905,5.691735023393395
maintenance_ratio_pct,2023,full_level_tree,2019|2020|2021,21.13556686474218,16.05860904293702,29.941411637024974,31.146204157680216,0.16987408168089446,0.13085655537518492,5.076957821805159
maintenance_ratio_pct,2023,persistence,2019|2020|2021,21.010704084717272,20.225391775923775,30.258038203109702,45.75331857858648,0.1522243014194452,-0.8755403266198978,0.7853123087934968
maintenance_ratio_pct,2024,change_tree,2019|2020|2021|2022,24.099976649369967,19.333268804698367,35.83107932613798,38.1687293118505,-0.12166913963911141,-0.2756453340774101,4.7667078446716005
maintenance_ratio_pct,2024,full_level_tree,2019|2020|2021|2022,21.524320801266583,16.945379537156608,33.719327448517056,29.66272726020295,0.006648852040743836,0.2295637687594485,4.578941264109975
maintenance_ratio_pct,2024,persistence,2019|2020|2021|2022,22.852550135630697,20.43547077996645,38.875925778154446,42.85027419238546,-0.3204029289934218,-0.6077619693993437,2.417079355664246
operating_ratio_pct,2021,change_tree,2019,6.513479919556958,5.200241305743697,8.450140602924034,6.761594566085868,0.08534023299402604,0.4032704686751365,1.3132386138132608
operating_ratio_pct,2021,full_level_tree,2019,6.987842624367677,5.496923770262261,8.923551270398464,7.311309141917309,-0.020016394531828352,0.30229863413981617,1.4909188541054164
operating_ratio_pct,2021,persistence,2019,6.393951612903226,7.01900826446281,8.47301318418394,9.038380696774988,0.08038198567251298,-0.06625366766456664,-0.6250566515595839
operating_ratio_pct,2022,change_tree,2019|2020,8.634763699202146,5.480377802659192,10.567620763125104,7.487921090633364,-0.2829480675226552,0.2560634909931572,3.154385896542954
operating_ratio_pct,2022,full_level_tree,2019|2020,8.583122478140202,5.400776988541691,10.367593972731788,6.993441610252106,-0.234839743857846,0.35107387196816653,3.1823454895985117
operating_ratio_pct,2022,persistence,2019|2020,7.8204918032786885,6.762345679012346,9.993560467604732,9.390595483732364,-0.14734790525993424,-0.1700370662319246,1.0581461242663428
operating_ratio_pct,2023,change_tree,2019|2020|2021,6.5187176388648576,5.529895139248166,8.62626418968974,7.723864538209485,0.30480161084097435,0.23148850022613265,0.9888224996166919
operating_ratio_pct,2023,full_level_tree,2019|2020|2021,6.64672748116842,5.387494829432496,8.495600537770384,7.096415487742056,0.3257027088242699,0.3512772272072566,1.2592326517359238
operating_ratio_pct,2023,persistence,2019|2020|2021,6.615161290322581,6.637874659400546,8.551434514633467,9.090933292016338,0.31681047930269124,-0.06462832235108151,-0.022713369077965062
