financial_year,rows,council__missing,council_key__missing,year_start__missing,financial_year__missing,fiscal_source_file__missing,fiscal_source_sheet__missing,fiscal_excel_row__missing,actual_maintenance_aud__missing,required_maintenance_aud__missing,maintenance_gap_aud__missing,maintenance_ratio_pct__missing,outcome_observed__missing,outcome_quality_eligible__missing,maintenance_conflict__missing,cash_cover_months__missing,current_ratio__missing,operating_ratio_pct__missing,own_source_pct__missing,grants_pct__missing,debt_service_cover__missing,population__missing,area_km2__missing,road_km__missing,road_expenditure_aud__missing,classification__missing,fesm_burned_ha__missing,fesm_burned_pct_raw__missing,fesm_extent_only_ha__missing,fesm_min_fire_size_ha_exclusive__missing,fesm_source_file__missing,fesm_excel_total_row__missing,fesm_status__missing,boundary_change_flag__missing,boundary_compatibility__missing,physical_flood_status__missing,verified_zero_all_disaster_exposure__missing,bushfire_declared_event_count__missing,bushfire_agrns__missing,bushfire_declaration_status__missing,flood_declared_event_count__missing,flood_agrns__missing,flood_declaration_status__missing,all_declared_event_count__missing,all_agrns__missing,all_declaration_status__missing,source_list_disagreement_count__missing,open_ended_onset_event_count__missing,known_prior_year_carryover_count__missing,prior_fy_declared_event_count__missing,declaration_vs_fesm_scope_difference__missing,candidate_no_new_declared_event__missing,candidate_strict_scoped_comparison__missing,direct_infrastructure_damage_documented__missing,direct_infrastructure_evidence_ids__missing
2017-18,128,0,0,0,0,0,0,0,3,3,3,4,0,0,0,3,3,3,3,3,3,0,0,0,3,0,0,0,128,0,0,0,0,0,0,0,0,0,104,0,0,124,0,0,97,0,0,0,0,0,0,0,0,128,128
2018-19,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,107,0,0,80,0,0,65,0,0,0,0,0,0,0,0,128,128
2019-20,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,78,0,0,38,0,0,29,0,0,0,0,0,0,0,0,127,127
2020-21,128,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,1,1,1,0,0,0,8,0,0,0,128,0,0,0,0,0,0,0,0,0,128,0,0,42,0,0,41,0,0,0,0,0,0,0,0,127,127
2021-22,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,128,0,0,0,0,0,0,0,0,0,128,0,0,14,0,0,14,0,0,0,0,0,0,0,0,126,126
2022-23,128,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,51,0,0,51,0,0,0,0,0,0,0,0,128,128
2023-24,128,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,85,0,0,69,0,0,0,0,0,0,0,0,128,128
2024-25,128,0,0,0,0,0,0,0,1,1,1,2,0,0,0,128,128,128,128,1,128,0,0,0,1,0,128,128,128,128,128,128,0,0,0,0,0,0,113,0,0,91,0,0,61,0,0,0,0,0,0,0,0,127,127
