council_key,year_start,_merge
coffsharbour,2014,both
coffsharbour,2015,both
coffsharbour,2016,both
coffsharbour,2017,both
coffsharbour,2018,both
coffsharbour,2019,both
coffsharbour,2020,both
coffsharbour,2021,both
coffsharbour,2022,both
coffsharbour,2023,both
coffsharbour,2024,both
coolamon,2012,both
coolamon,2013,both
coolamon,2014,both
coolamon,2015,both
coolamon,2016,both
coolamon,2017,both
coolamon,2018,both
coolamon,2019,both
coolamon,2020,both
coolamon,2021,both
coolamon,2022,both
coolamon,2023,both
coolamon,2024,both
coonamble,2012,both
coonamble,2013,both
coonamble,2014,both
coonamble,2015,both
coonamble,2016,both
coonamble,2017,both
coonamble,2018,both
coonamble,2019,both
coonamble,2020,both
coonamble,2021,both
coonamble,2022,both
coonamble,2023,both
coonamble,2024,both
cowra,2012,both
cowra,2013,both
cowra,2014,both
cowra,2015,both
cowra,2016,both
cowra,2017,both
cowra,2018,both
cowra,2019,both
cowra,2020,both
cowra,2021,both
cowra,2022,both
cowra,2023,both
cowra,2024,both
dungog,2012,both
dungog,2013,both
dungog,2014,both
dungog,2015,both
dungog,2016,both
dungog,2017,both
dungog,2018,both
dungog,2019,both
dungog,2020,both
dungog,2021,both
dungog,2022,both
dungog,2023,both
dungog,2024,both
eurobodalla,2012,both
eurobodalla,2013,both
eurobodalla,2014,both
eurobodalla,2015,both
eurobodalla,2016,both
eurobodalla,2017,both
eurobodalla,2018,both
eurobodalla,2019,both
eurobodalla,2020,both
eurobodalla,2021,both
eurobodalla,2022,both
eurobodalla,2023,both
eurobodalla,2024,both
fairfield,2012,both
fairfield,2013,both
fairfield,2014,both
fairfield,2015,both
fairfield,2016,both
fairfield,2017,both
fairfield,2018,both
fairfield,2019,both
fairfield,2020,both
fairfield,2021,both
fairfield,2022,both
fairfield,2023,both
fairfield,2024,both
forbes,2012,both
forbes,2013,both
forbes,2014,both
forbes,2015,both
forbes,2016,both
forbes,2017,both
forbes,2018,both
forbes,2019,both
forbes,2020,both
forbes,2021,both
forbes,2022,both
forbes,2023,both
forbes,2024,both
gilgandra,2012,both
gilgandra,2013,both
gilgandra,2014,both
gilgandra,2015,both
gilgandra,2016,both
gilgandra,2017,both
gilgandra,2018,both
gilgandra,2019,both
gilgandra,2020,both
gilgandra,2021,both
gilgandra,2022,both
gilgandra,2023,both
gilgandra,2024,both
gleninnessevern,2012,both
gleninnessevern,2013,both
gleninnessevern,2014,both
gleninnessevern,2015,both
gleninnessevern,2016,both
gleninnessevern,2017,both
gleninnessevern,2018,both
gleninnessevern,2019,both
gleninnessevern,2020,both
gleninnessevern,2021,both
gleninnessevern,2022,both
gleninnessevern,2023,both
gleninnessevern,2024,both
goulburnmulwaree,2012,both
goulburnmulwaree,2013,both
goulburnmulwaree,2014,both
goulburnmulwaree,2015,both
goulburnmulwaree,2016,both
goulburnmulwaree,2017,both
goulburnmulwaree,2018,both
goulburnmulwaree,2019,both
goulburnmulwaree,2020,both
goulburnmulwaree,2021,both
goulburnmulwaree,2022,both
goulburnmulwaree,2023,both
goulburnmulwaree,2024,both
greaterhume,2012,both
greaterhume,2013,both
greaterhume,2014,both
greaterhume,2015,both
greaterhume,2016,both
greaterhume,2017,both
greaterhume,2018,both
greaterhume,2019,both
greaterhume,2020,both
greaterhume,2021,both
greaterhume,2022,both
greaterhume,2023,both
greaterhume,2024,both
griffith,2012,both
griffith,2013,both
griffith,2014,both
griffith,2015,both
griffith,2016,both
griffith,2017,both
griffith,2018,both
griffith,2019,both
griffith,2020,both
griffith,2021,both
griffith,2022,both
griffith,2023,both
griffith,2024,both
gunnedah,2012,both
gunnedah,2013,both
gunnedah,2014,both
gunnedah,2015,both
gunnedah,2016,both
gunnedah,2017,both
gunnedah,2018,both
gunnedah,2019,both
gunnedah,2020,both
gunnedah,2021,both
gunnedah,2022,both
gunnedah,2023,both
gunnedah,2024,both
gwydir,2012,both
gwydir,2013,both
gwydir,2014,both
gwydir,2015,both
gwydir,2016,both
gwydir,2017,both
gwydir,2018,both
gwydir,2019,both
gwydir,2020,both
gwydir,2021,both
gwydir,2022,both
gwydir,2023,both
gwydir,2024,both
hawkesbury,2012,both
hawkesbury,2013,both
hawkesbury,2014,both
hawkesbury,2015,both
hawkesbury,2016,both
hawkesbury,2017,both
hawkesbury,2018,both
hawkesbury,2019,both
hawkesbury,2020,both
hawkesbury,2021,both
hawkesbury,2022,both
hawkesbury,2023,both
hawkesbury,2024,both
hay,2012,both
hay,2013,both
hay,2014,both
hay,2015,both
hay,2016,both
hay,2017,both
hay,2018,both
hay,2019,both
hay,2020,both
hay,2021,both
hay,2022,both
hay,2023,both
hay,2024,both
huntershill,2012,both
huntershill,2013,both
huntershill,2014,both
huntershill,2015,both
huntershill,2016,both
huntershill,2017,both
huntershill,2018,both
huntershill,2019,both
huntershill,2020,both
huntershill,2021,both
huntershill,2022,both
huntershill,2023,both
huntershill,2024,both
junee,2012,both
junee,2013,both
junee,2014,both
junee,2015,both
junee,2016,both
junee,2017,both
junee,2018,both
junee,2019,both
junee,2020,both
junee,2021,both
junee,2022,both
junee,2023,both
junee,2024,both
kempsey,2012,both
kempsey,2013,both
kempsey,2014,both
kempsey,2015,both
kempsey,2016,both
kempsey,2017,both
kempsey,2018,both
kempsey,2019,both
kempsey,2020,both
kempsey,2021,both
kempsey,2022,both
kempsey,2023,both
kempsey,2024,both
kiama,2012,both
kiama,2013,both
kiama,2014,both
kiama,2015,both
kiama,2016,both
kiama,2017,both
kiama,2018,both
kiama,2019,both
kiama,2020,both
kiama,2021,both
kiama,2022,both
kiama,2023,both
kiama,2024,both
kuringgai,2012,both
kuringgai,2013,both
kuringgai,2014,both
kuringgai,2015,both
kuringgai,2016,both
kuringgai,2017,both
kuringgai,2018,both
kuringgai,2019,both
kuringgai,2020,both
kuringgai,2021,both
kuringgai,2022,both
kuringgai,2023,both
kuringgai,2024,both
kyogle,2012,both
kyogle,2013,both
kyogle,2014,both
kyogle,2015,both
kyogle,2016,both
kyogle,2017,both
kyogle,2018,both
kyogle,2019,both
kyogle,2020,both
kyogle,2021,both
kyogle,2022,both
kyogle,2023,both
kyogle,2024,both
lakemacquarie,2012,both
lakemacquarie,2013,both
lakemacquarie,2014,both
lakemacquarie,2015,both
lakemacquarie,2016,both
lakemacquarie,2017,both
lakemacquarie,2018,both
lakemacquarie,2019,both
