file,sha256,bytes
sources/lismore_all2021_links.json,91d1261f16b41fcd1e75741618fdd6efe160a49879ed6ff2bf05375878497f27,12034
sources/lismore_all2021_oc_09112021_agn_at.pdf,e87ed208ce46dd68413e49fce195bcbb9969875cdf04a756cd7e15fbd583bf24,5231792
sources/lismore_all2021_oc_09112021_agn_at.txt,de78717e612d72184f7f4e03e58a013e6c730012d2f3cc190c7bb758c76a8d51,350734
sources/lismore_all2021_oc_09112021_att_excluded.pdf,8f30fdcfff45b746e92224b344e3e8c727f672605c4f3a90b0d22923a4e3c6b4,31951814
sources/lismore_all2021_oc_09112021_att_excluded.txt,b04c12616fa5de25d28422c1f1d73642be53d12abb824f3b068b09f8bcd27db1,131630
sources/lismore_all2021_oc_09112021_min.pdf,95c1a842ec4f2d8738f18cc1a3f0c40eb69fe0361a6c33060e715ed7a45db191,324997
sources/lismore_all2021_oc_09112021_min.txt,34d8a5c11448d3ba2035003fec07860aebb36f4f05276f8a4b2758dd92cfba86,32243
sources/lismore_archive.html,abaecd17fe7dc06be8557f3c66073588d24c295f55fae12197fb42318fc53f05,284219
sources/lismore_archive.txt,cc71509497c1c93031d17d82c0ad944297b2abde1c81e1d4eb1fbcd88f0f385f,29762
sources/lismore_archive_links.json,a97394303a8347836564b262731d7cff3b6b3f23312d40e43e1e20b3f3cf6b1b,127996
sources/lismore_business.html,da89f5151d838cc8ac3ca2d4557428e8970225ae161be0f7b9e4c9d859c811fa,142026
sources/lismore_business.txt,1133a5dd6d442e0be55f1d6bdffae01e6738a334aacd2ec463eb7c69c6bc4f29,11023
sources/lismore_business_links.json,5f5e07678292a591e38345c514ab269cfa55e0028c5142fad0fddf1c424a16ec,49623
sources/lismore_index2021.html,1408ff249502f587d7ed394960218fd5e864b7e509ffceb9d9d3195e1daa071a,70777
sources/lismore_index2021_links.json,8ee15853c884b353b4a88f9dba44d7297550b2ae7b2de2f6c71c9083e68b5be9,6052
sources/lismore_index2022.html,223dc04fc7e1b0688b4080292de2d7955c2823e59ab0a8eda505a81381f345fc,71621
sources/lismore_index2022_links.json,63b2ec6217c1dc2e2f98b3cc98401dc910bec940c3353dd7f416b99222cb36a4,5871
sources/lismore_meetings.html,6853e913dcb812f30f5655e1c2fa1a47b176c588899749911aecb26c57a6aafb,167955
sources/lismore_meetings.txt,3e605f15e1ed00364b86eeff053ce3ae4b0b5a767d6a946ddd58194682c6e07d,12357
sources/lismore_meetings_links.json,097cdfe6d47b7631880b0b5c04850defb2cda272a4808f93b6436ec6f8be9cea,56376
sources/lismore_oc_08022022_agn_at.pdf,6d31e95c20616a63005501d8178f1ece6a9c8826d57ee79a5b840bae44555a3a,6458983
sources/lismore_oc_08022022_agn_at.txt,9bdbbaff7c141652b2aff2915229a1a141d6b417170fe887db9d8b44e3b2f20f,255603
sources/lismore_oc_08022022_agn_at_direct.pdf,6d31e95c20616a63005501d8178f1ece6a9c8826d57ee79a5b840bae44555a3a,6458983
sources/lismore_oc_08022022_agn_at_direct.txt,9bdbbaff7c141652b2aff2915229a1a141d6b417170fe887db9d8b44e3b2f20f,255603
sources/lismore_oc_08022022_att_excluded.pdf,47e26151d130f243856e1205e0e81dcde6ee8bb4a0dd879712d20effd7424eda,6869828
sources/lismore_oc_08022022_att_excluded.txt,948e2ec8e6ffb6166e5fa246b8d3de8106306966ae4f2da8b11e675732d258f8,39048
sources/lismore_oc_08022022_att_excluded_direct.pdf,47e26151d130f243856e1205e0e81dcde6ee8bb4a0dd879712d20effd7424eda,6869828
sources/lismore_oc_08022022_att_excluded_direct.txt,948e2ec8e6ffb6166e5fa246b8d3de8106306966ae4f2da8b11e675732d258f8,39048
sources/lismore_oc_08022022_att_excluded_direct_ocr_p100.txt,fb8cbd5daf454a38298daedaace0f5bd75e4ad5e9619aaec71d82fa5ba81d34e,1907
sources/lismore_oc_08022022_att_excluded_direct_ocr_p101.txt,8751233bba64bdbc7dd32d592b7572591b4b87dbe952ac96c853be92134e5900,2230
sources/lismore_oc_08022022_att_excluded_direct_ocr_p102.txt,7d72222e147c1352a0567f35c8cd7d9dd17c38063b85d796ca3d2d7ef4b8984d,1749
sources/lismore_oc_08022022_att_excluded_direct_ocr_p103.txt,ab11f92eed06234e8b1282b8f8cd92e107971b05f0896b02d3d89e58376213d2,2013
sources/lismore_oc_08022022_att_excluded_direct_ocr_p104.txt,849f59cf8862e054d25749b8fe4ca1228046d8ef6202e2ad23beb20180759789,2172
