council,fy_end,actual_maintenance,required_maintenance,maintenance_ratio_raw,backlog_ratio,cash_cover,population_as_published,operating_ratio_raw,unrestricted_current_ratio,maintenance_ratio_recomputed,maintenance_zero_denominator,maintenance_scale_expected,maintenance_ratio_normalized,ratio_discrepancy
Federation,2019,4260000.0,5355000.0,79.55,8.06,15.6,12462,25.19,1.89,0.7955182072829131,False,100,0.7955,-1.8207282913129674e-05
Forbes,2019,6886000.0,8332000.0,82.65,3.34,15.75,9910,-2.63,3.89,0.8264522323571771,False,100,0.8265,4.776764282288237e-05
Georges River,2019,26398000.0,25058000.0,105.35,1.58,10.66,158411,-2.9,3.65,1.053475935828877,False,100,1.0534999999999999,2.406417112288395e-05
Gilgandra,2019,4573000.0,4865000.0,94.0,1.3,10.8,4226,1.21,4.17,0.9399794450154162,False,100,0.94,2.055498458375382e-05
Glen Innes Severn,2019,3894000.0,3804000.0,102.37,11.09,12.35,8908,0.73,2.94,1.023659305993691,False,100,1.0237,4.069400630912767e-05
Goulburn Mulwaree,2019,13824000.0,13580000.0,101.8,1.71,22.14,30852,6.21,3.36,1.0179675994108983,False,100,1.018,3.240058910169985e-05
Greater Hume,2019,4702000.0,4282000.0,109.81,0.07,12.24,10686,-0.64,5.24,1.098085007006072,False,100,1.0981,1.4992993928153453e-05
Griffith,2019,7465000.0,7006000.0,106.55,1.63,11.41,26882,6.3,2.41,1.0655152726234656,False,100,1.0655,-1.5272623465678592e-05
Gunnedah,2019,6567000.0,6084000.0,107.94,1.67,19.17,12661,18.91,2.76,1.0793885601577908,False,100,1.0794,1.143984220908223e-05
Gwydir,2019,4225000.0,4225000.0,100.0,1.51,1.97,5349,-4.16,1.56,1.0,False,100,1.0,0.0
Hawkesbury,2019,18011000.0,18235000.0,98.77,1.26,12.7,67083,3.77,3.21,0.9877159309021113,False,100,0.9876999999999999,-1.5930902111382927e-05
Hay,2019,1601000.0,2345000.0,68.27,3.91,13.56,2979,-2.82,5.6,0.68272921108742,False,100,0.6827,-2.9211087420044635e-05
Hills,2019,28167000.0,19607000.0,143.66,0.0,32.36,172473,10.7,20.55,1.4365787728872341,False,100,1.4365999999999999,2.122711276575373e-05
Hilltops,2019,8175000.0,8215000.0,99.5,4.1,8.5,18782,-11.2,3.9,0.9951308581862447,False,100,0.995,-0.0001308581862446978
Hornsby,2019,9056000.0,8911000.0,101.63,0.91,23.54,150752,4.45,8.01,1.016272023341937,False,100,1.0163,2.7976658063089133e-05
Hunters Hill,2019,1859000.0,4988000.0,37.27,8.23,18.85,14909,-4.24,8.08,0.3726944667201283,False,100,0.37270000000000003,5.533279871738905e-06
Inner West,2019,42852000.0,43883000.0,97.65,11.9,7.42,198024,0.46,3.04,0.9765057083608687,False,100,0.9765,-5.708360868661444e-06
Inverell,2019,9458000.0,9408000.0,100.53,0.84,22.71,16844,14.71,10.56,1.00531462585034,False,100,1.0053,-1.4625850339955448e-05
Junee,2019,2178000.0,536000.0,406.34,2.28,4.97,6631,-6.81,1.51,4.063432835820896,False,100,4.0634,-3.283582089608217e-05
Kempsey,2019,17433000.0,21113000.0,82.57,11.53,11.33,29665,-6.29,2.61,0.8256998058068489,False,100,0.8256999999999999,1.9419315100410728e-07
Kiama,2019,5535000.0,5161000.0,107.3,1.7,12.7,23006,-0.3,1.9,1.0724665762449137,False,100,1.073,0.0005334237550862486
Ku-ring-gai,2019,16468000.0,14480000.0,113.73,2.51,16.35,126046,10.22,3.65,1.137292817679558,False,100,1.1373,7.1823204419452225e-06
Kyogle,2019,5413000.0,4954000.0,109.27,2.75,9.73,8870,8.55,3.76,1.0926524020993136,False,100,1.0927,4.7597900686424666e-05
Lachlan,2019,10374000.0,6897000.0,150.41,6.52,16.14,6151,-0.61,5.3,1.5041322314049588,False,100,1.5041,-3.2231404958782406e-05
Lake Macquarie,2019,41343000.0,44351000.0,93.22,2.43,8.2,204914,-0.27,4.9,0.932177402989786,False,100,0.9322,2.2597010214009394e-05
Lane Cove,2019,4526000.0,1926000.0,234.99,0.71,34.19,39486,5.81,7.02,2.3499480789200415,False,100,2.3499,-4.807892004166092e-05
Leeton,2019,4960000.0,4945000.0,100.3,2.2,22.71,11438,7.79,4.33,1.0030333670374114,False,100,1.003,-3.336703741152469e-05
Lismore,2019,10739000.0,11526000.0,93.17,10.63,10.49,43843,2.08,1.56,0.9317195904910637,False,100,0.9317,-1.9590491063703475e-05
Lithgow,2019,5302000.0,6092000.0,87.03,5.82,8.93,21636,-3.08,1.93,0.8703217334208798,False,100,0.8703,-2.1733420879854748e-05
Liverpool,2019,21696000.0,20804000.0,104.29,2.32,10.29,223304,6.39,2.2,1.04287636992886,False,100,1.0429000000000002,2.363007114025706e-05
Liverpool Plains,2019,6906000.0,6451000.0,107.05,2.08,16.96,7893,-29.43,3.14,1.0705317005115487,False,100,1.0705,-3.170051154866016e-05
Lockhart,2019,1754000.0,1655000.0,105.98,0.0,12.06,3295,9.53,5.46,1.0598187311178249,False,100,1.0598,-1.8731117824799526e-05
Maitland,2019,11219000.0,7961000.0,140.92,11.49,14.87,83203,0.08,3.91,1.40924506971486,False,100,1.4091999999999998,-4.5069714860179744e-05
Mid-Coast,2019,60760000.0,68563000.0,88.6,6.7,11.9,93288,1.1,5.4,0.8861922611320975,False,100,0.8859999999999999,-0.000192261132097582
Mid-Western Regional,2019,10560000.0,9991000.0,105.7,5.03,16.19,25086,7.1,4.31,1.0569512561305174,False,100,1.057,4.8743869482503754e-05
Moree Plains,2019,8365000.0,10776000.0,77.63,0.66,9.14,13350,7.77,3.49,0.7762620638455828,False,100,0.7763,3.7936154417161916e-05
Mosman,2019,4217000.0,3945000.0,106.89,1.03,3.83,30877,3.83,1.68,1.0689480354879595,False,100,1.0689,-4.803548795950796e-05
Murray River,2019,6627000.0,6627000.0,100.0,2.19,23.97,12118,-1.09,4.09,1.0,False,100,1.0,0.0
Murrumbidgee,2019,3280000.0,3051000.0,107.5,0.0,27.2,3961,-10.9,6.2,1.075057358243199,False,100,1.075,-5.735824319907934e-05
Muswellbrook,2019,7106000.0,7230000.0,98.28,6.28,8.39,16383,6.98,0.73,0.9828492392807745,False,100,0.9828,-4.9239280774493466e-05
Nambucca Valley,2019,4964000.0,4852000.0,102.31,3.43,10.72,19773,4.27,2.41,1.023083264633141,False,100,1.0231000000000001,1.673536685919963e-05
Narrabri,2019,5201000.0,7889000.0,151.7,12.9,16.2,13231,1.1,4.3,0.6592724046140195,False,100,1.517,0.8577275953859804
Narrandera,2019,2961000.0,1421000.0,208.37,1.27,19.34,5931,5.64,6.63,2.083743842364532,False,100,2.0837,-4.384236453214285e-05
Narromine,2019,10480000.0,11095000.0,94.46,2.14,15.34,6567,1.53,4.97,0.9445696259576386,False,100,0.9445999999999999,3.037404236128083e-05
Newcastle,2019,26033000.0,29540000.0,88.13,11.59,5.35,164104,2.11,2.24,0.8812796208530805,False,100,0.8813,2.0379146919435875e-05
North Sydney,2019,9934000.0,10418000.0,95.35,6.24,8.74,74172,3.34,3.45,0.9535419466308312,False,100,0.9534999999999999,-4.194663083134653e-05
Northern Beaches,2019,38890000.0,33685000.0,115.45,1.32,7.53,271278,2.89,2.65,1.154519815941814,False,100,1.1545,-1.9815941813883242e-05
Oberon,2019,2353978.49,2777000.0,84.77,1.76,14.49,5408,9.75,4.41,0.8476696038890891,False,100,0.8477,3.0396110910935192e-05
Orange,2019,6483000.0,6483000.0,100.0,3.76,19.24,42056,10.18,3.41,1.0,False,100,1.0,0.0
