council,fy_end,actual_maintenance,required_maintenance,maintenance_ratio_raw,backlog_ratio,cash_cover,population_as_published,operating_ratio_raw,unrestricted_current_ratio,maintenance_ratio_recomputed,maintenance_zero_denominator,maintenance_scale_expected,maintenance_ratio_normalized,ratio_discrepancy
Hawkesbury,2020,18671000.0,17650000.0,105.78,0.75,10.66,67296,1.21,2.61,1.0578470254957506,False,100,1.0578,-4.7025495750530055e-05
Hay,2020,1668000.0,2180000.0,76.51,5.59,15.8,2949,-7.92,5.95,0.7651376146788991,False,100,0.7651,-3.761467889906722e-05
Hills,2020,31803000.0,20085000.0,158.34,0.0,38.05,177969,11.92,12.71,1.5834204630321136,False,100,1.5834000000000001,-2.046303211344913e-05
Hilltops,2020,8180000.0,8278000.0,99.0,4.0,9.64,18704,-21.4,1.26,0.9881613916404929,False,100,0.99,0.00183860835950711
Hornsby,2020,8738000.0,8314000.0,105.1,1.21,24.77,152059,5.32,5.26,1.0509983160933365,False,100,1.051,1.6839066634410926e-06
Hunters Hill,2020,2344000.0,2083000.0,112.53,9.09,3.5,14980,3.42,5.06,1.1253000480076811,False,100,1.1253,-4.800768116375309e-08
Inner West,2020,38159000.0,38633000.0,98.77,11.53,11.53,200811,0.38,5.68,0.9877306965547589,False,100,0.9876999999999999,-3.069655475895772e-05
Inverell,2020,10997000.0,10908000.0,100.82,1.0,23.15,16890,11.43,6.81,1.0081591492482582,False,100,1.0082,4.0850751741761115e-05
Junee,2020,2901000.0,530000.0,547.36,3.36,3.67,6683,4.01,1.11,5.473584905660378,False,100,5.4736,1.5094339622656605e-05
Kempsey,2020,16792000.0,19323000.0,86.9,9.79,10.55,29745,-6.64,1.69,0.8690161983128913,False,100,0.8690000000000001,-1.6198312891235744e-05
Kiama,2020,5671000.0,5671000.0,100.0,4.32,3.78,23386,-13.32,1.0,1.0,False,100,1.0,0.0
Ku-ring-gai,2020,17880000.0,15680000.0,114.03,3.07,15.58,127153,4.59,3.42,1.1403061224489797,False,100,1.1403,-6.122448979573036e-06
Kyogle,2020,5114000.0,4988000.0,102.53,5.73,10.78,8796,11.88,5.95,1.025260625501203,False,100,1.0253,3.937449879720667e-05
Lachlan,2020,7399000.0,7023000.0,105.35,4.24,21.94,6075,17.14,6.43,1.0535383739142816,False,100,1.0534999999999999,-3.837391428174186e-05
Lake Macquarie,2020,44397000.0,46237000.0,96.02,2.22,10.15,205901,-2.5,4.26,0.9602050306031966,False,100,0.9601999999999999,-5.030603196676253e-06
Lane Cove,2020,5586000.0,2365000.0,236.19,0.85,33.98,40155,1.81,2.96,2.3619450317124735,False,100,2.3619,-4.503171247360882e-05
Leeton,2020,5187000.0,5349000.0,96.97,6.71,25.05,11445,8.27,4.34,0.9697139652271453,False,100,0.9697,-1.3965227145251724e-05
Lismore,2020,10713000.0,11734000.0,91.3,11.05,9.68,43692,2.63,2.33,0.9129878984148628,False,100,0.9129999999999999,1.210158513709203e-05
Lithgow,2020,8104000.0,9143000.0,88.64,1.76,0.57,21605,-5.01,3.6,0.8863611506070218,False,100,0.8864,3.884939297815748e-05
Liverpool,2020,23682000.0,25576000.0,92.59,2.57,9.46,227585,-2.42,1.71,0.9259461995620895,False,100,0.9259000000000001,-4.619956208939957e-05
Liverpool Plains,2020,6906000.0,6471000.0,106.72,2.1,19.2,7903,-35.28,4.25,1.0672229949003245,False,100,1.0672,-2.299490032453555e-05
Lockhart,2020,1667000.0,1640000.0,101.65,0.18,11.02,3285,8.37,6.51,1.0164634146341462,False,100,1.0165,3.658536585371408e-05
Maitland,2020,14325000.0,11827000.0,121.12,11.92,18.61,85166,7.14,3.64,1.2112116343958739,False,100,1.2112,-1.1634395873816317e-05
Mid-Coast,2020,39757000.0,30831000.0,128.95,3.98,12.63,93836,-2.83,4.28,1.2895138010444034,False,100,1.2894999999999999,-1.3801044403516372e-05
Mid-Western Regional,2020,10771000.0,10646000.0,101.17,3.45,16.21,25251,15.54,3.47,1.011741499154612,False,100,1.0117,-4.1499154612045785e-05
Moree Plains,2020,8807000.0,9028000.0,97.55,0.95,8.61,13261,-0.02,1.75,0.9755206025697829,False,100,0.9754999999999999,-2.0602569782979252e-05
Mosman,2020,6213000.0,5187000.0,119.78,0.54,3.55,30981,0.57,1.38,1.1978021978021978,False,100,1.1978,-2.1978021977897555e-06
Murray River,2020,6198000.0,6198000.0,100.0,2.64,15.99,12118,-14.23,3.46,1.0,False,100,1.0,0.0
Murrumbidgee,2020,2916000.0,2891000.0,100.86,0.0,21.89,3917,-9.13,6.59,1.0086475268073332,False,100,1.0086,-4.7526807333220233e-05
Muswellbrook,2020,6640000.0,6240000.0,106.41,2.93,5.56,16377,12.38,0.98,1.064102564102564,False,100,1.0641,-2.5641025640510406e-06
Nambucca Valley,2020,5206000.0,5602000.0,92.93,3.69,12.91,19805,2.38,1.86,0.929310960371296,False,100,0.9293,-1.096037129599825e-05
Narrabri,2020,7882000.0,5677000.0,138.84,11.29,9.63,13135,-4.54,3.32,1.3884093711467325,False,100,1.3884,-9.371146732384261e-06
Narrandera,2020,0.0,2108000.0,0.0,10.86,20.77,5899,8.62,6.07,0.0,False,100,0.0,0.0
Narromine,2020,10791000.0,11425000.0,94.45,2.18,8.23,6517,2.28,2.86,0.9445076586433261,False,100,0.9445,-7.658643326080572e-06
Newcastle,2020,29775000.0,24382000.0,122.12,3.48,5.85,165571,2.4,2.09,1.2211877614633746,False,100,1.2212,1.2238536625464036e-05
North Sydney,2020,10044000.0,10254000.0,97.95,4.08,9.5,75021,-6.76,2.82,0.9795201872440024,False,100,0.9795,-2.018724400232319e-05
Northern Beaches,2020,39001000.0,36138000.0,107.92,1.38,5.39,273499,-4.97,2.09,1.0792240854502186,False,100,1.0792,-2.4085450218702675e-05
Oberon,2020,2975000.0,2718000.0,109.46,2.1,13.71,5411,-2.73,4.53,1.0945548197203827,False,100,1.0946,4.5180279617307306e-05
Orange,2020,7832000.0,8035000.0,97.47,5.09,21.39,42451,7.47,2.39,0.9747355320472931,False,100,0.9747,-3.553204729311865e-05
Parkes,2020,6334000.0,6157000.0,102.87,1.49,6.8,14837,4.78,2.48,1.0287477667695306,False,100,1.0287,-4.776676953066605e-05
Parramatta,2020,49127000.0,49459000.0,99.33,0.82,18.42,257197,1.21,4.21,0.9932873693362179,False,100,0.9933,1.2630663782098317e-05
Penrith,2020,29594000.0,28391000.0,104.24,1.51,0.71,212977,-0.24,2.45,1.0423725828607657,False,100,1.0424,2.741713923426481e-05
Port Macquarie-Hastings,2020,23699000.0,25436000.0,93.17,3.51,28.31,84525,3.45,1.43,0.9317109608428998,False,100,0.9317,-1.096084289986532e-05
Port Stephens,2020,15089000.0,15252000.0,98.93,1.73,4.03,73481,-1.76,2.17,0.9893128769997377,False,100,0.9893000000000001,-1.287699973762102e-05
Queanbeyan-Palerang Regional,2020,21143000.0,19280000.0,109.66,1.2,7.44,61100,3.14,1.57,1.0966286307053943,False,100,1.0966,-2.8630705394272482e-05
Randwick,2020,12331000.0,7078000.0,174.22,0.51,4.67,155649,4.16,3.95,1.7421588019214467,False,100,1.7422,4.119807855329505e-05
Richmond Valley,2020,5905000.0,5282000.0,111.79,1.62,8.18,23465,-1.62,3.83,1.1179477470655055,False,100,1.1179000000000001,-4.774706550536578e-05
Ryde,2020,19867000.0,21800000.0,91.13,1.95,12.97,131271,5.23,1.49,0.9113302752293578,False,100,0.9113,-3.0275229357834554e-05
Shellharbour,2020,13049000.0,12585000.0,103.69,1.57,10.73,73233,13.8,2.13,1.0368692888359157,False,100,1.0369,3.0711164084262776e-05
Shoalhaven,2020,63950000.0,72699000.0,87.97,2.55,7.35,105648,-7.62,1.68,0.8796544656735306,False,100,0.8797,4.5534326469476305e-05
Singleton,2020,11206000.0,13792000.0,81.25,2.4,20.16,23461,5.99,4.7,0.8125,False,100,0.8125,0.0
Snowy Monaro Regional,2020,9811000.0,19418000.0,50.53,6.02,13.88,20795,-7.2,2.79,0.5052528581728294,False,100,0.5053,4.714182717058257e-05
Snowy Valleys,2020,11071000.0,11071000.0,100.0,0.23,9.92,14479,-11.11,3.35,1.0,False,100,1.0,0.0
Strathfield,2020,6999000.0,8628000.0,81.12,0.58,12.8,46926,-0.55,3.64,0.8111961057023644,False,100,0.8112,3.8942976355871295e-06
Sutherland,2020,27375000.0,27227000.0,100.54,1.86,9.54,230611,3.58,3.13,1.0054357806589047,False,100,1.0054,-3.578065890463833e-05
Sydney,2020,68374000.0,69018000.0,99.07,1.69,9.43,246343,0.49,4.35,0.9906691008142803,False,100,0.9906999999999999,3.0899185719635014e-05
Tamworth Regional,2020,24729000.0,26955000.0,91.74,0.46,16.58,62541,3.13,2.76,0.917417918753478,False,100,0.9174,-1.7918753478007865e-05
Temora,2020,2468000.0,2627000.0,93.95,3.33,8.94,6307,1.47,3.13,0.9394746859535592,False,100,0.9395,2.5314046440794158e-05
Tenterfield,2020,8902000.0,8901000.0,100.01,5.13,8.77,6594,1.14,2.17,1.0001123469273114,False,100,1.0001,-1.2346927311446265e-05
Tweed,2020,27368000.0,24698000.0,110.81,1.45,25.05,97001,6.89,1.92,1.1081059195076524,False,100,1.1081,-5.919507652274447e-06
Upper Hunter,2020,8426000.0,7724000.0,109.09,1.15,11.44,14180,-9.5,2.85,1.0908855515277058,False,100,1.0909,1.4448472294148473e-05
Upper Lachlan,2020,8488000.0,5884000.0,144.26,5.03,19.0,8059,1.57,4.56,1.442556084296397,False,100,1.4425999999999999,4.3915703602959155e-05
Uralla,2020,4303000.0,4291000.0,100.28,2.84,9.99,6012,-2.4,2.36,1.0027965509205314,False,100,1.0028,3.4490794684760573e-06
Wagga Wagga,2020,16477000.0,24321000.0,67.75,21.35,11.76,65258,-4.98,2.43,0.6774803667612351,False,100,0.6775,1.9633238764860117e-05
Walcha,2020,3207000.0,4762000.0,67.35,4.32,6.0,3134,1.33,3.28,0.6734565308693826,False,100,0.6735,4.346913061736846e-05
Walgett,2020,8544000.0,7920000.0,107.88,6.45,13.8,5953,-0.58,4.47,1.0787878787878789,False,100,1.0788,1.2121212121130043e-05
Warren,2020,3733000.0,2812000.0,132.75,0.9,16.08,2697,22.46,3.98,1.327524893314367,False,100,1.3275,-2.489331436716924e-05
Warrumbungle,2020,7696000.0,7400000.0,104.0,0.58,7.74,9278,-5.59,2.95,1.04,False,100,1.04,0.0
Waverley,2020,23457000.0,21682000.0,108.19,1.01,13.38,74295,-8.34,7.22,1.0818651415921041,False,100,1.0819,3.4858407895965726e-05
Weddin,2020,1903000.0,1372000.0,138.7,1.89,8.5,3613,-4.11,6.32,1.3870262390670554,False,100,1.3869999999999998,-2.6239067055566778e-05
Wentworth,2020,3013000.0,3685000.0,81.76,5.32,15.55,7053,-2.25,3.6,0.8176390773405698,False,100,0.8176000000000001,-3.907734056973755e-05
Willoughby,2020,9948000.0,9947000.0,100.01,1.3,19.94,81189,3.18,5.38,1.000100532823967,False,100,1.0001,-5.328239669477597e-07
Wingecarribee,2020,19133000.0,18633000.0,102.68,1.74,24.13,51134,7.03,5.72,1.0268341115225674,False,100,1.0268000000000002,-3.411152256727057e-05
Wollondilly,2020,14234000.0,14072000.0,101.0,7.0,11.61,53149,-12.7,1.39,1.0115122228538942,False,100,1.01,-0.001512222853894185
Wollongong,2020,77788000.0,76853000.0,101.22,3.42,5.63,218114,-1.62,2.36,1.012166083301888,False,100,1.0122,3.391669811203535e-05
Woollahra,2020,11818000.0,10631000.0,111.17,1.43,8.68,59387,-8.12,4.04,1.1116545950522059,False,100,1.1117,4.540494779403659e-05
Yass Valley,2020,3941000.0,3941000.0,100.0,0.58,9.37,17087,12.08,1.33,1.0,False,100,1.0,0.0
Albury,2021,29061000.0,28533000.0,101.85,2.86,20.95,55055,-2.57,2.05,1.018504889075807,False,100,1.0185,-4.889075807090748e-06
Armidale Regional,2021,16582000.0,23000000.0,72.1,1.77,15.5,29704,6.93,2.41,0.7209565217391304,False,100,0.721,4.347826086958939e-05
Ballina,2021,7176000.0,7266000.0,98.76,1.51,13.12,45217,5.37,2.7,0.9876135425268373,False,100,0.9876,-1.3542526837273527e-05
Balranald,2021,2670000.0,2567000.0,104.01,2.75,20.51,2306,6.35,6.14,1.0401246591351772,False,100,1.0401,-2.46591351771297e-05
Bathurst Regional,2021,14887000.0,27172000.0,54.79,10.54,10.24,43996,-25.35,1.47,0.5478801707640217,False,100,0.5478999999999999,1.9829235978208182e-05
Bayside,2021,16885000.0,20742000.0,81.4,2.26,33.09,181472,-0.61,3.36,0.8140487898948993,False,100,0.8140000000000001,-4.878989489920382e-05
Bega Valley,2021,27401000.0,24484000.0,111.91,2.07,11.77,34727,2.89,0.93,1.1191390295703316,False,100,1.1191,-3.902957033163901e-05
Bellingen,2021,3394000.0,3983000.0,85.21,8.75,7.34,13141,-1.99,2.17,0.8521215164448908,False,100,0.8521,-2.1516444890790076e-05
Berrigan,2021,5218000.0,4232000.0,123.3,0.0,25.87,8784,4.02,5.01,1.2329867674858224,False,100,1.2329999999999999,1.3232514177508037e-05
Blacktown,2021,72485000.0,73071000.0,99.2,1.69,22.84,382831,-7.75,3.15,0.9919804026221073,False,100,0.992,1.959737789269944e-05
Bland,2021,3659000.0,3599000.0,101.67,8.7,39.2,5937,1.6,19.63,1.016671297582662,False,100,1.0167,2.870241733798906e-05
Blayney,2021,3730000.0,3277000.0,113.82,4.02,17.23,7382,-3.74,3.86,1.1382361916386938,False,100,1.1381999999999999,-3.619163869394981e-05
Blue Mountains,2021,23342000.0,23321000.0,100.09,2.41,3.7,79195,-0.2,1.66,1.0009004759658677,False,100,1.0009000000000001,-4.7596586760789705e-07
Bogan,2021,3471000.0,4135000.0,83.94,1.86,9.32,2529,2.71,2.94,0.8394195888754534,False,100,0.8393999999999999,-1.9588875453502297e-05
Bourke,2021,4929000.0,5862000.0,84.08,1.48,17.91,2625,4.71,4.74,0.8408393039918116,False,100,0.8408,-3.930399181162336e-05
Brewarrina,2021,2115000.0,2394000.0,88.35,1.63,21.16,1553,3.74,5.09,0.8834586466165414,False,100,0.8835,4.135338345856443e-05
Broken Hill,2021,5673000.0,6379000.0,88.93,7.83,12.27,17269,-3.62,4.12,0.8893243455087004,False,100,0.8893000000000001,-2.43455087003408e-05
Burwood,2021,7766000.0,7427000.0,104.56,9.43,6.58,40866,-8.22,3.18,1.0456442709034603,False,100,1.0456,-4.4270903460263966e-05
Byron,2021,20647000.0,43786000.0,47.15,10.4,9.36,35773,-7.15,2.41,0.47154341570364955,False,100,0.4715,-4.3415703649574144e-05
Cabonne,2021,6675000.0,7152000.0,93.33,12.53,5.18,13677,-18.0,8.33,0.9333053691275168,False,100,0.9333,-5.369127516807737e-06
Camden,2021,15986000.0,16191000.0,98.73,0.76,23.1,107806,-25.33,2.86,0.9873386449261936,False,100,0.9873000000000001,-3.864492619354287e-05
Campbelltown,2021,11107000.0,10663000.0,104.16,0.76,18.12,174078,3.98,3.78,1.0416393135140205,False,100,1.0415999999999999,-3.9313514020644647e-05
Canada Bay,2021,15482000.0,16133000.0,95.96,2.33,21.36,96550,0.97,2.68,0.9596479266100539,False,100,0.9595999999999999,-4.7926610054038754e-05
Canterbury-Bankstown,2021,38832000.0,43540000.0,89.19,1.92,14.53,380406,-5.29,3.8,0.891869545245751,False,100,0.8919,3.0454754249009675e-05
Carrathool,2021,4407000.0,4193000.0,105.1,0.36,16.86,2796,-5.84,5.31,1.0510374433579777,False,100,1.051,-3.744335797772891e-05
Central Coast,2021,71483000.0,86631000.0,82.51,2.64,5.03,345809,-10.26,2.27,0.8251434244092761,False,100,0.8251000000000001,-4.342440927607161e-05
Central Darling,2021,8998000.0,6931000.0,129.82,20.98,4.21,1829,-0.4,3.29,1.298225364305295,False,100,1.2982,-2.536430529498368e-05
Cessnock,2021,13186000.0,12742000.0,103.48,3.41,8.18,61256,-5.19,3.84,1.0348453931878825,False,100,1.0348,-4.5393187882547537e-05
Clarence Valley,2021,19982000.0,19354000.0,103.24,4.6,13.36,51730,-3.88,3.98,1.032448072749819,False,100,1.0324,-4.807274981910581e-05
Cobar,2021,7493000.0,5320000.0,140.85,3.88,9.05,4417,1.14,7.49,1.4084586466165414,False,100,1.4084999999999999,4.135338345845341e-05
Coffs Harbour,2021,15275000.0,15805000.0,96.65,1.57,9.53,77648,4.21,6.49,0.9664663081303385,False,100,0.9665,3.369186966151183e-05
Coolamon,2021,3572000.0,3316000.0,107.72,0.0,24.89,4291,8.72,10.16,1.0772014475271412,False,100,1.0772,-1.4475271412628388e-06
Coonamble,2021,2935000.0,2752000.0,106.65,3.41,20.3,3907,7.5,7.74,1.0664970930232558,False,100,1.0665,2.9069767442102545e-06
Cootamundra-Gundagai Regional,2021,7522000.0,0.0,0.0,4.26,9.08,11225,-15.31,5.58,,True,100,0.0,
Cowra,2021,9389000.0,9790000.0,95.9,0.14,11.08,12730,0.77,4.33,0.9590398365679265,False,100,0.9590000000000001,-3.98365679263879e-05
Cumberland,2021,26683000.0,24995000.0,106.75,4.77,7.54,242674,3.8,2.61,1.0675335067013403,False,100,1.0675,-3.350670134039113e-05
Dubbo Regional,2021,12996000.0,12996000.0,100.0,1.18,20.25,54044,-9.36,2.93,1.0,False,100,1.0,0.0
Dungog,2021,2898000.0,3965000.0,73.09,10.01,17.45,9664,-13.91,4.24,0.7308953341740227,False,100,0.7309,4.665825977245852e-06
Edward River,2021,5575000.0,5916000.0,94.24,1.99,30.41,9083,-1.91,4.76,0.9423597025016903,False,100,0.9423999999999999,4.0297498309582735e-05
Eurobodalla,2021,26301000.0,27110000.0,97.02,6.81,17.85,38952,-1.28,2.43,0.9701586130579122,False,100,0.9702,4.138694208777327e-05
Fairfield,2021,40274000.0,38884000.0,103.57,2.16,4.5,210825,3.3,1.92,1.0357473510955664,False,100,1.0356999999999998,-4.7351095566527945e-05
Federation,2021,4060000.0,5278000.0,76.92,8.34,14.6,12598,-6.35,2.8,0.7692307692307693,False,100,0.7692,-3.076923076927862e-05
Forbes,2021,5937000.0,8872000.0,66.92,1.65,15.08,9920,-13.87,2.98,0.6691839495040577,False,100,0.6692,1.6050495942332432e-05
Georges River,2021,24507000.0,24461000.0,100.19,1.63,12.76,160272,-3.75,2.48,1.0018805445402885,False,100,1.0019,1.945545971149265e-05
Gilgandra,2021,5471000.0,5178000.0,105.66,1.89,11.42,4229,0.96,3.86,1.0565855542680571,False,100,1.0566,1.4445731942869244e-05
Glen Innes Severn,2021,4251000.0,3636000.0,116.91,12.57,12.56,8873,-4.81,0.88,1.1691419141914192,False,100,1.1691,-4.191419141919006e-05
Goulburn Mulwaree,2021,14196000.0,13532000.0,104.91,2.81,24.06,31554,5.8,2.69,1.0490688737806682,False,100,1.0491,3.11262193317674e-05
Greater Hume,2021,4722000.0,4458000.0,105.92,0.09,7.59,10841,0.04,4.28,1.0592193808882908,False,100,1.0592,-1.9380888290898568e-05
Griffith,2021,7191000.0,7156000.0,100.49,1.47,18.55,27155,3.96,2.39,1.0048910005589715,False,100,1.0049,8.99944102839001e-06
Gunnedah,2021,7333000.0,8395000.0,87.35,0.74,20.62,12690,7.99,2.17,0.8734961286480047,False,100,0.8734999999999999,3.87135199519939e-06
Gwydir,2021,19236000.0,19236000.0,100.0,0.79,3.46,5299,-3.67,0.89,1.0,False,100,1.0,0.0
Hawkesbury,2021,22841000.0,22810000.0,100.14,1.91,9.63,67749,-5.13,3.03,1.0013590530469092,False,100,1.0014,4.094695309087015e-05
Hay,2021,1590000.0,2215000.0,71.78,1.41,15.25,2943,-0.16,4.01,0.7178329571106095,False,100,0.7178,-3.2957110609466156e-05
Hills,2021,33861000.0,20711000.0,163.49,0.0,44.97,183791,6.89,3.94,1.634928298971561,False,100,1.6349,-2.829897156098049e-05
Hilltops,2021,10540000.0,8445000.0,124.81,2.49,10.09,18617,-9.12,1.1,1.2480757844878627,False,100,1.2481,2.4215512137271133e-05
Hornsby,2021,9129000.0,9186000.0,99.38,1.31,4.58,152419,5.07,6.45,0.9937949052906597,False,100,0.9937999999999999,5.0947093401809695e-06
Hunters Hill,2021,2467000.0,2036000.0,121.17,7.9,16.63,14962,-12.43,3.54,1.211689587426326,False,100,1.2117,1.041257367395687e-05
Inner West,2021,41875000.0,45230000.0,92.58,2.8,12.46,201880,4.02,5.61,0.9258235684280345,False,100,0.9258,-2.356842803452608e-05
Inverell,2021,10161000.0,10081000.0,100.79,0.98,21.65,17780,12.91,4.08,1.0079357206626327,False,100,1.0079,-3.5720662632687805e-05
Junee,2021,3816000.0,2680000.0,142.39,4.33,2.81,6676,-3.33,1.47,1.4238805970149253,False,100,1.4239,1.940298507463467e-05
Kempsey,2021,14521000.0,15432000.0,94.1,8.87,10.17,29921,2.69,2.72,0.940966822187662,False,100,0.941,3.31778123379145e-05
Kiama,2021,,,,,,23685,,,,False,100,,
Ku-ring-gai,2021,16900000.0,15950000.0,105.96,2.8,15.12,127603,5.85,2.3,1.0595611285266457,False,100,1.0595999999999999,3.887147335412955e-05
Kyogle,2021,5649000.0,5021000.0,112.51,8.58,9.18,8788,7.05,5.2,1.1250746863174665,False,100,1.1251,2.531368253344546e-05
Lachlan,2021,8252000.0,8466000.0,97.47,3.23,29.0,6089,11.0,6.03,0.9747224190881172,False,100,0.9747,-2.2419088117175967e-05
Lake Macquarie,2021,42259000.0,48545000.0,87.05,2.24,11.5,207775,0.99,4.14,0.8705118961788032,False,100,0.8704999999999999,-1.1896178803261215e-05
Lane Cove,2021,3256000.0,2326000.0,139.98,1.92,23.3,40534,4.24,2.5,1.3998280309544282,False,100,1.3998,-2.803095442827086e-05
Leeton,2021,7641000.0,5222000.0,146.32,17.36,17.58,11343,-13.88,3.41,1.4632324779777863,False,100,1.4631999999999998,-3.247797778649364e-05
Lismore,2021,10394000.0,12073000.0,86.09,12.7,13.33,43667,-9.93,1.84,0.8609293464756067,False,100,0.8609,-2.9346475606706335e-05
Lithgow,2021,9587000.0,7880000.0,121.66,1.78,8.57,21516,-2.19,2.23,1.2166243654822335,False,100,1.2166,-2.4365482233612568e-05
Liverpool,2021,26479000.0,27689000.0,95.63,2.43,13.05,231296,-5.04,1.48,0.9563003358734515,False,100,0.9562999999999999,-3.3587345160679405e-07
Liverpool Plains,2021,6651000.0,6091000.0,109.19,2.94,16.9,7853,-33.87,4.48,1.0919389262846824,False,100,1.0918999999999999,-3.892628468249448e-05
Lockhart,2021,2149000.0,1860000.0,115.54,0.13,11.98,3259,9.51,5.22,1.1553763440860214,False,100,1.1554,2.365591397857081e-05
Maitland,2021,14735000.0,12507000.0,117.81,10.94,20.45,87395,4.83,3.85,1.1781402414647797,False,100,1.1781,-4.0241464779766645e-05
Mid-Coast,2021,40735000.0,41657000.0,97.79,4.01,10.58,94395,-5.0,3.09,0.9778668651127062,False,100,0.9779000000000001,3.3134887293950754e-05
Mid-Western Regional,2021,12102000.0,12416000.0,97.47,3.87,18.23,25367,13.17,4.06,0.9747100515463918,False,100,0.9747,-1.0051546391776078e-05
Moree Plains,2021,9710000.0,9058000.0,107.2,1.27,10.15,13077,-4.68,3.71,1.0719805696621771,False,100,1.072,1.943033782292325e-05
Mosman,2021,6959000.0,5230000.0,133.06,0.54,3.8,30785,3.03,1.34,1.3305927342256214,False,100,1.3306,7.265774378595324e-06
Murray River,2021,8626000.0,7361000.0,117.19,5.88,16.27,12330,-11.51,3.53,1.1718516505909524,False,100,1.1719,4.8349409047521164e-05
Murrumbidgee,2021,3087000.0,2715000.0,113.7,0.0,20.94,3916,-10.86,6.04,1.1370165745856353,False,100,1.137,-1.6574585635309447e-05
Muswellbrook,2021,6144000.0,7810000.0,78.67,2.39,7.98,16355,9.96,2.17,0.7866837387964148,False,100,0.7867000000000001,1.626120358522165e-05
Nambucca Valley,2021,6939000.0,6322000.0,109.76,4.08,15.44,19861,-5.47,2.28,1.097595697564062,False,100,1.0976000000000001,4.302435938186022e-06
Narrabri,2021,5432000.0,5794000.0,93.75,7.23,8.18,13049,1.94,3.3,0.9375215740421126,False,100,0.9375,-2.1574042112559866e-05
Narrandera,2021,3053000.0,2564000.0,119.07,14.52,19.67,5858,6.16,5.03,1.1907176287051482,False,100,1.1906999999999999,-1.7628705148320378e-05
Narromine,2021,10077000.0,10546000.0,95.55,2.09,3.71,6460,10.39,3.22,0.9555281623364309,False,100,0.9555,-2.8162336430881396e-05
Newcastle,2021,30384000.0,25110000.0,121.0,3.5,6.62,167363,-8.11,2.23,1.2100358422939068,False,100,1.21,-3.584229390685145e-05
North Sydney,2021,10125000.0,9871000.0,102.57,3.89,11.55,75094,1.38,2.82,1.0257319420524769,False,100,1.0256999999999998,-3.194205247702975e-05
Northern Beaches,2021,43884000.0,41197000.0,106.52,1.5,5.2,274041,-7.32,1.69,1.0652231958637766,False,100,1.0652,-2.3195863776637182e-05
Oberon,2021,3434000.0,2651000.0,129.54,8.82,22.83,5419,4.07,6.67,1.2953602414183327,False,100,1.2953999999999999,3.975858166715973e-05
Orange,2021,4492000.0,7489000.0,59.98,1.01,21.52,42503,4.97,2.31,0.599813059153425,False,100,0.5998,-1.3059153424976877e-05
Parkes,2021,5349000.0,5071000.0,105.48,2.53,9.57,14728,6.64,0.77,1.054821534214159,False,100,1.0548,-2.1534214158958065e-05
Parramatta,2021,55972000.0,54834000.0,102.08,0.68,19.98,260296,-0.02,5.3,1.0207535470693365,False,100,1.0208,4.645293066340983e-05
Penrith,2021,16501000.0,20240000.0,81.53,1.67,6.81,216282,-7.97,2.49,0.8152667984189723,False,100,0.8153,3.320158102770865e-05
Port Macquarie-Hastings,2021,24309000.0,25925000.0,93.77,3.68,30.35,85952,3.99,1.3,0.9376663452266152,False,100,0.9377,3.365477338479472e-05
Port Stephens,2021,14725000.0,15167000.0,97.09,1.72,5.01,74506,-0.22,2.08,0.9708577833454209,False,100,0.9709,4.2216654579041446e-05
Queanbeyan-Palerang Regional,2021,22973000.0,18770000.0,122.39,1.21,8.1,62239,-2.77,1.64,1.2239211507725094,False,100,1.2239,-2.1150772509415106e-05
Randwick,2021,13611000.0,7068000.0,192.57,0.48,1.56,156619,3.07,3.98,1.9257215619694397,False,100,1.9257,-2.156196943969846e-05
Richmond Valley,2021,6982000.0,5386000.0,129.63,2.33,11.31,23490,-4.1,3.42,1.2963238024507984,False,100,1.2963,-2.3802450798360297e-05
Ryde,2021,19260000.0,20948000.0,91.94,1.96,17.13,133224,4.62,6.38,0.9194195149894978,False,100,0.9194,-1.951498949781527e-05
Shellharbour,2021,13013000.0,12461000.0,104.43,1.26,10.69,74622,14.3,1.75,1.0442982104164995,False,100,1.0443,1.7895835004999583e-06
Shoalhaven,2021,61671000.0,68059000.0,90.61,2.86,7.6,107191,-3.47,1.53,0.9061402606561954,False,100,0.9061,-4.0260656195334477e-05
Singleton,2021,11963000.0,12346000.0,96.9,1.62,14.13,23380,5.21,4.09,0.968977806577029,False,100,0.9690000000000001,2.2193422971050758e-05
Snowy Monaro Regional,2021,21791000.0,21271000.0,102.44,2.38,13.02,20997,-30.27,2.27,1.024446429410935,False,100,1.0244,-4.642941093502273e-05
Snowy Valleys,2021,14373000.0,14373000.0,100.0,0.21,7.46,14412,-4.12,2.81,1.0,False,100,1.0,0.0
Strathfield,2021,4452000.0,2989000.0,148.95,0.39,13.21,47767,-8.71,3.32,1.4894613583138174,False,100,1.4894999999999998,3.864168618239461e-05
Sutherland,2021,30516000.0,30130000.0,101.28,1.8,11.62,232369,4.23,3.75,1.0128111516760703,False,100,1.0128,-1.1151676070353389e-05
Sydney,2021,67663000.0,66493000.0,101.76,1.27,10.84,248736,-1.25,3.95,1.017595837155791,False,100,1.0176,4.162844209121275e-06
Tamworth Regional,2021,25477000.0,29050000.0,87.7,0.4,18.44,62545,1.56,2.55,0.8770051635111876,False,100,0.877,-5.163511187622483e-06
